ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO
Sprite (Large)	280	0	0	0	0	130	74	0	73	0
Sprite (Medium)	210	0	0	0	0	95	55	0	54	0
Sweet Tea (Extra Small)	60	0	0	0	0	10	15	0	15	0
Sweet Tea (Large)	160	0	0	0	0	25	38	0	38	1
Red Flash (Extra Small)	120	0	0	0	0	30	31	0	31	0
Red Flash (Small)	160	0	0	0	0	40	41	0	41	0
Red Flash (Medium)	230	0	0	0	0	60	59	0	59	0
Red Flash (Large)	300	0	0	0	0	80	79	0	79	0
Iced Classic Lemonade (Small)	100	0	0	0	0	10	25	1	21	0
Iced Classic Lemonade (Medium)	130	0	0	0	0	15	32	1	28	0
Iced Classic Lemonade (Large)	170	0	0	0	0	15	43	1	37	1
Iced Strawberry Lemonade (Small)	120	0	0	0	0	10	33	1	28	1
Iced Strawberry Lemonade (Medium)	160	0	0	0	0	15	43	1	37	1
Iced Strawberry Lemonade (Large)	220	0	0	0	0	20	57	1	50	1
Fanta Grape (Medium)	240	0	0	0	0	75	63	0	61	0
Fanta Grape (Medium) No Ice	300	0	0	0	0	95	77	0	76	0
Sprite Zero (Extra Small) No Ice	0	0	0	0	0	45	0	0	0	0
Sprite Zero (Extra Small)	0	0	0	0	0	35	0	0	0	0
Vitamin Water XXX Zero (Small)	0	0	0	0	0	40	0	0	0	0
Blue Raspberry ICEE (Small)	130	0	0	0	0	60	34	0	34	0
Orange Crush (Large)	310	0	0	0	0	95	84	0	83	0
DO NOT USE Fanta Orange (Large) No Ice	410	0	0	0	0	90	112	0	110	0
Dr Pepper (Medium) No Ice	250	0	0	0	0	75	68	0	67	0
Diet Coke (Large) No Ice	0	0	0	0	0	125	0	0	0	0
Orange Crush (Extra Small) No Ice	160	0	0	0	0	45	44	0	43	0
Orange Crush (Extra Small)	110	0	0	0	0	35	31	0	30	0
Diet Dr Pepper (Large) No Ice	0	0	0	0	0	180	1	0	0	0
Barq's Root Beer (Large) No Ice	420	0	0	0	0	135	109	0	109	0
Barq's Root Beer (Large)	320	0	0	0	0	100	84	0	83	0
Fanta Strawberry (Small) No Ice	230	0	0	0	0	70	60	0	59	0
Fanta Strawberry (Small)	50	0	0	0	0	10	14	0	14	0
Caffeine Free Diet Coke (Large)	0	0	0	0	0	95	0	0	0	0
Dr Pepper (Large) No Ice	360	0	0	0	0	110	98	0	96	0
Caffeine Free Diet Coke (Large) No Ice	0	0	0	0	0	120	0	0	0	0
Sprite (Large) No Ice	370	0	0	0	0	170	97	0	95	0
Minute Maid Lemonade (Small)	140	0	0	0	0	95	38	0	36	0
Minute Maid Lemonade (Small) No Ice	190	0	0	0	0	130	50	0	48	0
Minute Maid Light Lemonade (Small)	5	0	0	0	0	45	2	0	0	0
Minute Maid Light Lemonade (Small) No Ice	10	0	0	0	0	55	3	0	0	0
Minute Maid Orange Juice (Small)	150	0	0	0	0	0	36	0	32	2
Barq's Root Beer (Small) No Ice	220	0	0	0	0	70	58	0	58	0
Barq's Root Beer (Small)	170	0	0	0	0	55	44	0	44	0
Fanta Grape (Large) No Ice	420	0	0	0	0	135	110	0	108	0
Fanta Grape (Large)	330	0	0	0	0	100	85	0	83	0
