ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO
Vanilla McCafé Shake (Small) 12 fl oz	530	15	10	1	60	160	86	0	63	11
Strawberry McCafé Shake (Small) 12 fl oz	550	16	10	1	60	160	90	0	79	12
Coffee (Large) 20 fl oz cup	0	0	0	0	0	0	0	0	0	0
Premium Roast Iced Coffee (Small) 16 fl oz cup	140	4.5	3	0	15	35	23	0	22	1
McCafé Caramel Mocha (Small) 12 fl oz cup	320	11	7	0	35	170	45	1	40	10
Frappe Mocha (Small) 12 fl oz cup	440	18	11	1	60	125	64	1	57	7
Frappe Caramel (Small) 12 fl oz cup	440	18	12	1	65	125	63	0	57	7
Frappe Chocolate Chip (Small) 12 fl oz cup	520	22	14	1	65	130	75	1	66	8
Blueberry Pomegranate Smoothie (Small) 12 fl oz cup	220	0.5	0	0	5	40	50	3	44	2
Strawberry Banana Smoothie (Small) 12 fl oz cup	210	0.5	0	0	5	50	47	3	44	3
Mango Pineapple Smoothie (Small) 12 fl oz cup	210	0.5	0	0	5	40	50	1	46	2
McCafé Hot Chocolate (Small) 12 fl oz cup	360	13	8	0	40	180	50	1	45	11
Minute Maid® 100% Apple Juice Box 6 fl oz (177 ml)	80	0	0	0	0	15	21	0	19	0
McCafé Latte (Small) 12 fl oz cup	170	9	5	0	25	115	15	1	12	9
Shamrock McCafe® Shake (Small) 12 fl oz cup	530	15	10	1	60	160	86	0	73	11
McCafé Iced Mocha (Small) 12 fl oz cup	290	11	6	0	35	125	40	1	34	8
McCafé Iced Caramel Mocha (Small) 12 fl oz cup	270	11	6	0	35	140	37	0	32	8
McCafé White Chocolate Mocha (Small) 12 fl oz cup	320	11	6	0	35	160	47	1	43	11
Coffee (Medium) 16 fl oz cup	0	0	0	0	0	0	0	0	0	0
Iced Coffee with Sugar Free French Vanilla Syrup (Large) 32 fl oz cup	160	9	6	0	35	135	18	0	2	2
Iced Coffee with Sugar Free French Vanilla Syrup (Medium) 22 fl oz cup	120	7	4.5	0	25	90	12	0	2	1
Iced Coffee with Sugar Free French Vanilla Syrup (Small) 16 fl oz cup	80	4.5	3	0	15	65	9	0	1	1
Iced Coffee Caramel (Large) 32 fl oz cup	260	9	6	0	35	65	43	0	42	2
Iced Coffee Caramel (Medium) 22 fl oz cup	180	7	4.5	0	25	50	29	0	28	1
Iced Coffee Caramel (Small) (16 fl oz cup)	130	4.5	3	0	15	35	22	0	21	1
Iced Coffee French Vanilla (Large) 32 fl oz cup	240	9	6	0	35	80	41	0	39	2
Iced Coffee French Vanilla (Medium) 22 fl oz cup	170	7	4.5	0	25	55	27	0	26	1
Iced Coffee French Vanilla (Small) 16 fl oz cup	120	4.5	3	0	15	40	20	0	19	1
Iced Coffee Hazelnut (Large) (32 fl oz cup)	250	9	6	0	35	75	43	0	41	2
Iced Coffee Hazelnut (Medium) 22 fl oz cup	180	7	4.5	0	25	50	29	0	28	1
Iced Coffee Hazelnut (Small) (16 fl oz cup)	130	4.5	3	0	15	35	21	0	20	1
Iced Coffee Regular (Large) (32 fl oz cup)	270	9	6	0	35	75	47	0	45	2
Iced Coffee Regular (Medium) 22 fl oz cup	190	7	4.5	0	25	50	31	0	30	1
Iced Coffee Regular (Small) (16 fl oz cup)	140	4.5	3	0	15	35	23	0	22	1
Premium Roast Iced Coffee (Large) 32 fl oz cup	270	9	6	0	35	75	47	0	45	2
Premium Roast Iced Coffee (Medium) 22 fl oz cup	190	7	4.5	0	25	50	31	0	30	1
Fat Free Chocolate Milk Jug 1 carton (236 ml)	130	0	0	0	5	135	23	1	22	9
Minute Maid® Orange Juice (Small) 12 fl oz cup	150	0	0	0	0	0	34	0	30	2
Dasani® Water 16.9 fl oz	0	0	0	0	0	0	0	0	0	0
One-Percent Low Fat Milk Jug 1 carton (236 ml)	100	2.5	1.5	0	10	125	12	0	12	8
Coca-Cola® Classic (Small) 16 fl oz cup	140	0	0	0	0	0	39	0	39	0
Diet Coke® (Small) 16 fl oz cup	0	0	0	0	0	10	0	0	0	0
Dr Pepper® (Small) 16 fl oz cup	140	0	0	0	0	45	37	0	35	0
Diet Dr Pepper® (Small) 16 fl oz cup	0	0	0	0	0	70	0	0	0	2
Sprite® (Small) 16 fl oz cup	140	0	0	0	0	30	37	0	37	0
Hi-C® Orange Lavaburst (Small) 16 fl oz cup	160	0	0	0	0	0	43	0	42	0
Iced Tea (Small) (16 fl oz cup)	0	0	0	0	0	10	0	0	0	0
Sweet Tea (Small) 16 fl oz cup	150	0	0	0	0	10	36	0	36	1
Minute Maid® Orange Juice (Medium) 16 fl oz cup	190	0	0	0	0	0	44	0	39	3
POWERade® Mountain Blast (Small) 16 fl oz cup	80	0	0	0	0	75	21	0	21	0
Sweet Tea (Medium) 21 fl oz cup	180	0	0	0	0	10	45	0	45	1
Coca-Cola® Classic (Extra Small) 12 fl oz cup	100	0	0	0	0	0	28	0	28	0
Coca-Cola® Classic (Large) 30 fl oz cup	280	0	0	0	0	5	76	0	76	0
Coca-Cola® Classic (Medium) 21 fl oz cup	200	0	0	0	0	5	55	0	55	0
Diet Coke® (Extra Small) 12 fl oz cup	0	0	0	0	0	15	0	0	0	0
Diet Coke® (Large) 30 fl oz cup	0	0	0	0	0	35	0	0	0	0
Diet Coke® (Medium) 21 fl oz cup	0	0	0	0	0	20	0	0	0	0
Diet Dr Pepper® (Extra Small) 12 fl oz cup	0	0	0	0	0	50	0	0	0	1
Diet Dr Pepper® (Large) 30 fl oz cup	0	0	0	0	0	140	0	0	0	4
Diet Dr Pepper® (Medium) 21 fl oz cup (- {})	0	0	0	0	0	100	0	0	0	3
Dr Pepper® (Extra Small) 12 fl oz cup	100	0	0	0	0	30	27	0	26	0
Dr Pepper® (Large) 30 fl oz cup	270	0	0	0	0	90	72	0	70	0
Dr Pepper® (Medium) 21 fl oz cup	190	0	0	0	0	65	53	0	51	0
Hi-C® Orange Lavaburst (Extra Small) 12 fl oz cup	110	0	0	0	0	0	31	0	31	0
Hi-C® Orange Lavaburst (Large) 30 fl oz cup	310	0	0	0	0	0	84	0	84	0
Hi-C® Orange Lavaburst (Medium) 21 fl oz cup	230	0	0	0	0	0	61	0	61	0
Iced Tea (Extra Small) (12 fl oz cup)	0	0	0	0	0	5	0	0	0	0
Iced Tea (Large) (32 fl oz cup)	0	0	0	0	0	15	0	0	0	0
Iced Tea (Medium) (21 fl oz cup)	0	0	0	0	0	10	0	0	0	0
Minute Maid® Orange Juice (Large) 22 fl oz cup	280	0	0	0	0	5	65	0	58	4
POWERade® Mountain Blast (Extra Small) 12 fl oz cup	60	0	0	0	0	55	15	0	15	0
POWERade® Mountain Blast (Large) 30 fl oz cup	160	0	0	0	0	150	42	0	42	0
POWERade® Mountain Blast (Medium) 21 fl oz cup	120	0	0	0	0	105	30	0	30	0
Sprite® (Extra Small) 12 fl oz cup	100	0	0	0	0	25	27	0	27	0
Sprite® (Large) 30 fl oz cup	280	0	0	0	0	60	74	0	74	0
Sprite® (Medium) 21 fl oz cup	200	0	0	0	0	45	54	0	54	0
Sweet Tea (Extra Small) 12 fl oz cup	110	0	0	0	0	5	27	0	27	0
Sweet Tea (Large) 30 fl oz cup	220	0	0	0	0	10	54	0	54	1
McCafé White Hot Chocolate (Small) 13.3 oz (376 g)	350	13	8	0	40	180	48	0	46	12
McCafé White Hot Chocolate (Medium) 16.3 oz (463 g)	420	15	9	0.5	50	230	59	0	57	14
McCafé White Hot Chocolate (Large) 20.8 oz (589 g)	520	19	11	0.5	60	290	71	0	69	18
McCafé McCafé Mocha (Small) 12 fl oz cup	340	11	7	0	35	150	49	2	42	10
Coffee (Small) 12 fl oz cup	0	0	0	0	0	0	0	0	0	0
Chocolate McCafé Shake (Medium) 16 fl oz	700	20	12	1	75	300	114	2	97	15
Chocolate McCafé Shake (Large) 22 fl oz	850	23	15	1	85	380	141	2	120	19
Chocolate McCafé Shake (Small) 12 fl oz	560	16	10	1	60	240	91	1	77	12
Vanilla McCafé Shake (Small) 12 fl oz	530	15	10	1	60	160	86	0	63	11
Strawberry McCafé Shake (Small) 12 fl oz	550	16	10	1	60	160	90	0	79	12
Coffee (Large) 20 fl oz cup	0	0	0	0	0	0	0	0	0	0
Premium Roast Iced Coffee (Small) 16 fl oz cup	140	4.5	3	0	15	35	23	0	22	1
McCafé Caramel Mocha (Small) 12 fl oz cup	320	11	7	0	35	170	45	1	40	10
Frappe Mocha (Small) 12 fl oz cup	440	18	11	1	60	125	64	1	57	7
Frappe Caramel (Small) 12 fl oz cup	440	18	12	1	65	125	63	0	57	7
Frappe Chocolate Chip (Small) 12 fl oz cup	520	22	14	1	65	130	75	1	66	8
Blueberry Pomegranate Smoothie (Small) 12 fl oz cup	220	0.5	0	0	5	40	50	3	44	2
Strawberry Banana Smoothie (Small) 12 fl oz cup	210	0.5	0	0	5	50	47	3	44	3
